Nacionalidade,Continente
France,Europa
Spain,Europa
Belgium,Europa
Germany,Europa
United Kingdom,Europa
Netherlands,Europa
China,Ásia
Sweden,Europa
Ireland,Europa
Luxembourg,Europa
Iceland,Europa
Italy,Europa
Austria,Europa
Switzerland,Europa
Brazil,América do Sul
Czech Republic,Europa
Angola,África
Israel,Ásia
United States,América do Norte
Japan,Ásia
Finland,Europa
Russian Federation,Europa
Romania,Europa
Cape Verde,África
Norway,Europa
Bulgaria,Europa
Poland,Europa
Greece,Europa
Turkey,Ásia
Denmark,Europa
Kuwait,Ásia
Australia,Oceania
India,Ásia
Comoros,África
Croatia,Europa
Thailand,Ásia
South Korea,Ásia
Russia,Ásia
"Iran, Islamic Republic of",Ásia
South Africa,África
Belarus,Europa
Malta,Europa
Ukraine,Europa
Morocco,África
Estonia,Europa
Azerbaijan,Ásia
"Venezuela, Bolivarian Republic of",América do Sul
Taiwan,Ásia
Argentina,América do Sul
Libya,África
Guyana,América do Sul
Serbia,Europa
Philippines,Ásia
"Taiwan, Province of China",Ásia
Mexico,América do Norte
Indonesia,Ásia
Mozambique,África
Oman,Ásia
Pakistan,Ásia
Cyprus,Europa
Hungary,Europa
Tunisia,África
Cameroon,África
Maldives,Ásia
Nigeria,África
Algeria,África
Slovakia,Europa
Lithuania,Europa
Bosnia and Herzegovina,Europa
Egypt,África
Hong Kong,Ásia
"Korea, Republic of",Ásia
New Zealand,Oceania
Singapore,Ásia
Colombia,América do Sul
Uruguay,América do Sul
Saint Lucia,América Central
Lebanon,Ásia
Ivory Coast,África
Zambia,África
Senegal,África
Bahrain,Ásia
Slovenia,Europa
Saudi Arabia,Ásia
Chile,América do Sul
Peru,América do Sul
Ecuador,América do Sul
Malaysia,Ásia
Georgia,Europa
Macao,Ásia
Gibraltar,Europa
Viet Nam,Ásia
Jamaica,América Central
Fiji,Oceania
"Bolivia, Plurinational State of",América do Sul
Dominican Republic,América Central
Qatar,Ásia
Seychelles,África
Tajikistan,Ásia
Latvia,Europa
"Macedonia, the former Yugoslav Republic of",Europa
Rwanda,África
Kazakhstan,Ásia
Isle of Man,Europa
Paraguay,América do Sul
Ethiopia,África
Togo,África
Guinea-Bissau,África
Bolivia,América do Sul
United Arab Emirates,Ásia
Ghana,África
Cuba,América Central
Bangladesh,Ásia
Kenya,África
Costa Rica,América Central
Jordan,Ásia
Mayotte,África
Guernsey,Europa
Andorra,Europa
Liechtenstein,Europa
Gabon,África
Guatemala,América Central
Mauritius,África
Côte d'Ivoire,África
"Tanzania, United Republic of",África
Iraq,Ásia
Antarctica,Antártica
Zimbabwe,África
Albania,Europa
Armenia,Ásia
Libyan Arab Jamahiriya,África
Uganda,África
Venezuela,América do Sul
Djibouti,África
Vietnam,Ásia
Faroe Islands,Europa
Panama,América Central
Puerto Rico,América Central
Barbados,América Central
Palau,Oceania
Mali,África
San Marino,Europa
Montenegro,Europa
Malawi,África
Syrian Arab Republic,Ásia
Burma,Ásia
Bahamas,América Central
Sri Lanka,Ásia
Central African Republic,África
American Samoa,Oceania
Jersey,Europa
Myanmar,Ásia
Namibia,África
Suriname,América do Sul
Saint Kitts and Nevis,América Central
El Salvador,América Central
United States Minor Outlying Islands,Oceania
Uzbekistan,Ásia
Monaco,Europa
Anguilla,América Central
Cayman Islands,América Central
Aruba,América Central
Nicaragua,América Central
Cambodia,Ásia
Lao People's Democratic Republic,Ásia
Burundi,África
"Virgin Islands, British",América Central
Dominica,América Central
Nepal,Ásia
