iter	Passed	Remaining
0	273	136375
1	386	96154
2	536	88826
3	650	80644
4	758	75060
5	865	71270
6	980	69059
7	1087	66911
8	1217	66445
9	1319	64633
10	1413	62843
11	1506	61276
12	1617	60603
13	1699	58997
14	1810	58545
15	1914	57909
16	2021	57437
17	2153	57653
18	2242	56761
19	2352	56453
20	2352	56453
21	2452	55821
22	2560	55526
23	2560	55526
24	2814	58129
25	2933	57939
26	3021	57165
27	3145	57099
28	3259	56856
29	3380	56748
30	3475	56199
31	3563	55593
32	3674	55357
33	3773	54946
34	3773	54946
35	3865	54349
36	3971	54078
37	4240	55973
38	4344	55639
39	4445	55267
40	4547	54932
41	4662	54759
42	4775	54561
43	4905	54560
44	4992	54087
45	5105	53908
46	5225	53801
47	5348	53718
48	5348	53718
49	5474	53556
50	5558	53098
51	5822	54341
52	5922	54031
53	6048	53950
54	6179	53919
55	6297	53770
56	6407	53554
57	6407	53554
58	6689	54631
59	6797	54377
60	6933	54356
61	7053	54196
62	7138	53783
63	7264	53681
64	7368	53420
65	7467	53129
66	7467	53129
67	7718	53781
68	7825	53536
69	7939	53344
70	8044	53096
71	8145	52824
72	8145	52824
73	8430	53602
74	8562	53514
75	8562	53514
76	8840	54197
77	8965	54051
78	9083	53861
79	9177	53532
80	9264	53177
81	9373	52944
82	9489	52760
83	9569	52379
84	9652	52022
85	9765	51832
86	9858	51537
87	9968	51339
88	10060	51047
89	10143	50719
90	10236	50442
91	10369	50365
92	10462	50094
93	10462	50094
94	10711	50444
95	10826	50273
96	10890	49874
97	10890	49874
98	11166	50311
99	11252	50010
100	11360	49811
101	11453	49548
102	11561	49355
103	11663	49136
104	11792	49031
105	11860	48677
106	11976	48522
107	12083	48333
108	12174	48084
109	12258	47810
110	12366	47627
111	12467	47426
112	12548	47150
113	12647	46940
114	12737	46702
115	12854	46565
116	12938	46313
117	13040	46123
118	13107	45815
119	13170	45497
120	13290	45380
121	13408	45252
122	13506	45060
123	13608	44884
124	13717	44730
125	13817	44550
126	13902	44322
127	14006	44155
128	14113	44000
129	14197	43775
130	14280	43549
131	14369	43342
132	14462	43150
133	14573	43014
134	14573	43014
135	14840	43215
136	14913	42965
137	15034	42855
138	15125	42659
139	15234	42515
140	15369	42442
141	15474	42287
142	15631	42276
143	15631	42276
144	15726	41976
145	15808	41763
146	16075	42034
147	16196	41920
148	16196	41920
149	16474	42087
150	16590	41956
151	16681	41763
152	16789	41614
153	16895	41459
154	17024	41362
155	17288	41588
156	17386	41414
157	17479	41226
158	17479	41226
159	17734	41299
160	17842	41146
161	17842	41146
162	17944	40859
163	18204	41051
164	18308	40888
165	18396	40690
166	18505	40541
167	18625	40416
168	18697	40186
169	18833	40097
170	18921	39905
171	19012	39719
172	19114	39559
173	19235	39439
174	19329	39262
175	19430	39101
176	19520	38920
177	19629	38776
178	19741	38639
179	19824	38446
180	19824	38446
181	20095	38496
182	20095	38496
183	20345	38498
184	20345	38498
185	20607	38516
186	20711	38358
187	20809	38191
188	20912	38033
189	21008	37864
190	21115	37714
191	21233	37585
192	21327	37414
193	21438	37273
194	21438	37273
195	21708	37284
196	21819	37141
197	21910	36965
198	22007	36801
199	22095	36621
200	22200	36472
201	22298	36311
202	22394	36147
203	22509	36014
204	22608	35857
205	22714	35711
206	22831	35582
207	22920	35412
208	23032	35275
209	23125	35112
210	23253	35001
211	23371	34875
212	23480	34736
213	23567	34565
214	23567	34565
215	23844	34549
216	23933	34380
217	24042	34242
218	24131	34074
219	24256	33958
220	24358	33811
221	24439	33635
222	24439	33635
223	24543	33369
224	24801	33434
225	24893	33271
226	24998	33128
227	25100	32981
228	25199	32831
229	25293	32675
230	25387	32520
231	25455	32332
232	25549	32177
233	25653	32036
234	25653	32036
235	25751	31767
236	26027	31838
237	26131	31696
238	26215	31531
239	26293	31359
240	26425	31251
241	26425	31251
242	26693	31182
243	26693	31182
244	26949	31095
245	26949	31095
246	27221	31022
247	27328	30882
248	27463	30773
249	27559	30622
250	27674	30490
251	27760	30328
252	27873	30196
253	27982	30059
254	28096	29929
255	28194	29781
256	28308	29651
257	28394	29491
258	28394	29491
259	28493	29223
260	28755	29245
261	28864	29109
262	28972	28972
263	29075	28831
264	29165	28677
265	29245	28514
266	29362	28387
267	29452	28235
268	29552	28092
269	29639	27939
270	29746	27803
271	29844	27660
272	29946	27521
273	30040	27375
274	30151	27245
275	30236	27091
276	30355	26968
277	30463	26837
278	30573	26706
279	30573	26706
280	30826	26578
281	30982	26487
282	31088	26352
283	31174	26201
284	31280	26067
285	31386	25932
286	31464	25776
287	31564	25638
288	31692	25522
289	31787	25381
290	31897	25252
291	31897	25252
292	32151	25114
293	32255	24980
294	32381	24862
295	32477	24721
296	32579	24585
297	32679	24449
298	32787	24318
299	32898	24190
300	32994	24051
301	33089	23911
302	33189	23775
303	33189	23775
304	33276	23510
305	33365	23368
306	33628	23346
307	33628	23346
308	33895	23204
309	33980	23058
310	34080	22922
311	34189	22792
312	34301	22665
313	34413	22538
314	34504	22397
315	34590	22254
316	34702	22127
317	34702	22127
318	34966	21975
319	35056	21834
320	35168	21707
321	35267	21572
322	35372	21441
323	35491	21319
324	35613	21198
325	35613	21198
326	35895	21050
327	35991	20914
328	36113	20792
329	36206	20654
330	36206	20654
331	36467	20490
332	36585	20365
333	36585	20365
334	36850	20200
335	36954	20067
336	37059	19936
337	37167	19806
338	37277	19677
339	37368	19539
340	37460	19401
341	37567	19271
342	37676	19143
343	37762	19003
344	37851	18864
345	37932	18723
346	38022	18585
347	38122	18454
348	38225	18324
349	38322	18191
350	38404	18051
351	38499	17917
352	38612	17793
353	38733	17671
354	38843	17546
355	38960	17423
356	39066	17295
357	39197	17178
358	39286	17044
359	39380	16911
360	39493	16787
361	39588	16655
362	39696	16530
363	39809	16406
364	39891	16270
365	39975	16134
366	40050	15996
367	40148	15867
368	40245	15737
369	40352	15612
370	40459	15487
371	40553	15357
372	40628	15220
373	40728	15093
374	40794	14954
375	40794	14954
376	41073	14772
377	41166	14642
378	41166	14642
379	41418	14448
380	41418	14448
381	41510	14197
382	41597	14066
383	41838	13986
384	41942	13860
385	42041	13732
386	42041	13732
387	42348	13551
388	42437	13420
389	42547	13296
390	42638	13166
391	42699	13026
392	42814	12904
393	42899	12773
394	42899	12773
395	42990	12523
396	43253	12444
397	43362	12320
398	43450	12190
399	43450	12190
400	43535	11939
401	43793	11855
402	43891	11728
403	44014	11608
404	44099	11477
405	44201	11352
406	44298	11225
407	44298	11225
408	44416	10983
409	44501	10853
410	44621	10733
411	44733	10610
412	44733	10610
413	44818	10361
414	45091	10275
415	45206	10153
416	45294	10025
417	45385	9897
418	45488	9773
419	45569	9644
420	45666	9518
421	45666	9518
422	45933	9307
423	46016	9179
424	46016	9179
425	46290	8967
426	46387	8841
427	46489	8716
428	46573	8588
429	46664	8462
430	46775	8339
431	46775	8339
432	46904	8099
433	47160	8001
434	47160	8001
435	47418	7781
436	47515	7655
437	47623	7532
438	47718	7406
439	47800	7279
440	47926	7158
441	48018	7033
442	48018	7033
443	48118	6787
444	48370	6684
445	48457	6558
446	48559	6434
447	48700	6315
448	48878	6201
449	49053	6085
450	49200	5967
451	49344	5848
452	49464	5726
453	49575	5603
454	49674	5478
455	49870	5365
456	49986	5242
457	50088	5118
458	50203	4995
459	50331	4874
460	50431	4750
461	50538	4627
462	50642	4504
463	50718	4378
464	50834	4256
465	50944	4133
466	51042	4010
467	51133	3886
468	51224	3762
469	51344	3641
470	51344	3641
471	51344	3641
472	51622	3287
473	51721	3164
474	51841	3042
475	51935	2919
476	52003	2794
477	52115	2672
478	52231	2550
479	52324	2428
480	52438	2306
481	52532	2183
482	52532	2183
483	52627	1940
484	52732	1818
485	52987	1701
486	53083	1579
487	53169	1456
488	53255	1334
489	53317	1211
490	53394	1089
491	53394	1089
492	53478	846
493	53745	727
494	53841	606
495	53841	606
496	54094	364
497	54203	243
498	54298	121
499	54387	0
